DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV3_NAPQ,PC_ENT_CUSE,SK,2017,50.2,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4R_AP,PC_ENT,ES,2018,4.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4R_AP,PC_ENT_CUSE,ES,2018,5.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4SBG_AP,PC_ENT,ES,2018,6.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4SBG_AP,PC_ENT,SE,2018,6.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4SBG_AP,PC_ENT_CUSE,ES,2018,7.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4SBG_AP,PC_ENT_CUSE,SE,2018,7.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,DE,2023,9.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,ES,2018,6.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,ES,2020,8.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,ES,2023,13.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,PT,2018,26.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,PT,2020,15.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,PT,2023,17.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,SE,2018,8.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,UK,2018,6.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT,UK,2020,16.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_CUSE,ES,2018,8.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_CUSE,PT,2018,30.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_CUSE,SE,2018,9.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_CUSE,UK,2018,8.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_IUSE,DE,2023,9.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_IUSE,ES,2020,11.4,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_IUSE,ES,2023,15.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_IUSE,PT,2020,17.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_IUSE,PT,2023,20.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP,PC_ENT_IUSE,UK,2020,18.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_10_24,PC_ENT,ES,2018,2.1,
